RA Dec redshift phot_index luminosity nh_values
220.78389636168 -0.82052279368351 1.2756 1.94271 7.868507257761278e+43 20.4677
113.51070947261 26.865688360504 1.61253 2.09382 9.663666686094244e+43 20.7075
113.78714784919 26.857188805082 1.7755 1.85548 6.522685295527586e+44 20.47172
113.83836141422 26.795719433037 1.7755 2.24598 3.2110452473633167e+44 20.32965
204.02000539503 -30.142178891785 1.6255 1.64861 9.082081772165993e+44 21.51852
146.05125789147 76.471655445126 0.6758 2.0789 6.607970148699118e+43 20.68158
179.02842636075 23.518552179027 0.49536 2.07588 1.4325915957481745e+44 20.18653
214.84321183501 -26.644762907926 0.7258 1.73508 1.6423127814638712e+44 20.01041
219.69820607391 0.27370019807569 0.6758 2.05489 9.944617245818447e+43 20.58031
198.5074317407 -25.29407235745 0.3259 5.97543 2.2918229462920415e+43 20.07676
215.67532460588 19.488520835107 0.07833 2.41178 6.693157359924592e+41 20.69013
215.84330724932 19.700230908157 1.40592 1.98237 1.2309787633925054e+45 20.56118
318.63274399439 5.908815633426 0.3259 2.66931 5.601199783774051e+42 22.12346
318.91416112743 6.1248136428456 1.4256 2.24581 3.306955591378814e+44 21.22284
194.60094404576 47.599658492269 0.8758 2.08522 3.586559637602954e+45 20.67114
194.45776092325 47.666919111639 0.4759 2.69744 2.4070926518308696e+44 20.49164
194.22560414592 47.680690520617 0.6258 2.51707 3.9014826924340565e+43 22.05247
194.13153244991 47.534365307571 0.3259 1.9984 2.5647855805463102e+42 20.44524
194.18161496 47.743809914343 2.0754 1.77714 1.4397604826138655e+45 20.96669
194.13092815263 47.724314463514 0.6758 0.99733 3.5792997690655034e+43 22.48205
155.54780135834 22.101426544331 0.3259 1.36872 1.9397736849334108e+43 21.06342
155.567198164 22.116723786454 0.2759 2.30817 4.3184377452101094e+43 20.71023
155.39611917078 22.027755591064 0.03552 2.15167 1.7168324881873013e+44 20.514
202.35163326792 58.599498276666 0.1759 2.96207 5.895469344824112e+45 21.14843
150.45633567516 28.785821664977 0.8758 0.45655 3.1992491019783243e+44 20.00542
34.103468977754 -4.241791140907 0.23304 2.58515 1.2130712031981035e+43 20.67144
34.500456996124 -6.0972126689235 1.2257 1.77453 5.027357521629297e+44 21.75152
35.101457176237 -6.2340861582708 1.2756 1.88741 3.6591680036645466e+44 21.50798
35.265902807247 -6.0471887995337 0.176 1.61527 1.0609000063638757e+42 21.74441
35.230054159994 -6.0267037908029 0.6258 1.91897 4.491895918190812e+43 20.53848
